payment_id,amount,payment_method,failure_reason,bank,previous_successes,previous_failures,attempt_number,customer_age_days,hour,day_of_week,recovery_action,recovered,recovered_amount
PAY_000001,2690.2,Wallet,gateway_error,SBI,7,1,4,624,22,3,change_payment_method,1,2690.2
PAY_000002,1618.72,UPI,network_error,Kotak,5,0,2,736,16,2,retry_now,1,1618.72
PAY_000003,3035.56,Card,insufficient_balance,ICICI,4,3,1,48,6,1,retry_later,1,3035.56
PAY_000004,6114.53,UPI,insufficient_balance,Axis,3,2,4,799,0,5,retry_later,0,0.0
PAY_000005,1499.19,Wallet,network_error,SBI,3,0,1,1123,23,1,payment_link,0,0.0
PAY_000006,1499.21,NetBanking,otp_failure,HDFC,5,0,2,510,10,5,payment_link,1,1499.21
PAY_000007,6395.63,Wallet,network_error,SBI,4,3,1,1213,18,1,retry_later,1,6395.63
PAY_000008,3340.74,Wallet,network_error,HDFC,3,3,3,990,5,3,no_action,1,3340.74
PAY_000009,1241.93,NetBanking,gateway_error,Kotak,4,0,4,660,3,2,change_payment_method,0,0.0
PAY_000010,2790.7,NetBanking,gateway_error,ICICI,7,4,3,822,17,1,retry_now,1,2790.7
PAY_000011,1247.96,UPI,network_error,Axis,7,2,2,460,13,3,retry_now,0,0.0
PAY_000012,1245.65,Card,otp_failure,SBI,1,3,1,437,23,2,retry_now,0,0.0
PAY_000013,2194.19,Card,gateway_error,SBI,4,1,1,231,8,4,retry_now,1,2194.19
PAY_000014,391.26,Card,insufficient_balance,Axis,9,3,1,249,23,2,retry_now,0,0.0
PAY_000015,454.89,UPI,insufficient_balance,HDFC,14,0,1,872,6,5,retry_later,1,454.89
PAY_000016,1153.05,UPI,blocked_card,ICICI,3,0,4,1248,2,5,retry_later,0,0.0
PAY_000017,804.11,NetBanking,network_error,Kotak,7,3,4,293,22,4,payment_link,0,0.0
PAY_000018,2324.82,Card,network_error,Axis,4,2,2,938,4,4,retry_now,1,2324.82
PAY_000019,874.44,Wallet,network_error,ICICI,4,2,4,568,1,3,payment_link,1,874.44
PAY_000020,584.15,UPI,gateway_error,SBI,4,3,3,1397,22,4,change_payment_method,0,0.0
PAY_000021,5840.19,Wallet,blocked_card,ICICI,6,2,1,177,9,2,retry_later,0,0.0
PAY_000022,1509.27,Card,gateway_error,Kotak,11,1,4,958,14,6,no_action,0,0.0
PAY_000023,1908.4,Card,gateway_error,ICICI,7,6,1,105,6,1,retry_now,1,1908.4
PAY_000024,578.36,UPI,network_error,SBI,8,5,3,577,22,6,no_action,0,0.0
PAY_000025,1169.69,UPI,otp_failure,Kotak,2,2,1,63,1,4,retry_now,0,0.0
PAY_000026,1975.82,NetBanking,network_error,Kotak,5,2,3,711,10,1,retry_later,0,0.0
PAY_000027,719.97,Wallet,gateway_error,Kotak,5,0,3,1318,11,1,retry_later,0,0.0
PAY_000028,2441.97,NetBanking,network_error,SBI,2,3,2,454,6,4,retry_later,0,0.0
PAY_000029,1118.22,NetBanking,gateway_error,HDFC,3,0,1,1250,23,3,retry_now,1,1118.22
PAY_000030,1431.74,Wallet,gateway_error,SBI,6,0,2,296,5,1,retry_later,1,1431.74
PAY_000031,1117.26,Card,insufficient_balance,HDFC,7,0,3,503,21,2,change_payment_method,1,1117.26
PAY_000032,7957.12,Wallet,otp_failure,HDFC,4,1,2,1407,16,0,retry_now,1,7957.12
PAY_000033,1788.62,Card,insufficient_balance,SBI,5,1,1,985,13,4,change_payment_method,1,1788.62
PAY_000034,775.75,NetBanking,network_error,ICICI,5,0,3,525,19,6,change_payment_method,0,0.0
PAY_000035,3491.32,Card,blocked_card,SBI,2,1,1,724,9,4,change_payment_method,1,3491.32
PAY_000036,680.84,Card,otp_failure,Kotak,3,2,2,524,4,6,retry_now,0,0.0
PAY_000037,2136.86,Card,gateway_error,ICICI,6,2,4,916,0,6,retry_later,1,2136.86
PAY_000038,377.01,Wallet,otp_failure,Axis,8,2,3,773,20,5,retry_later,1,377.01
PAY_000039,624.81,Card,insufficient_balance,Axis,8,0,3,1306,1,0,retry_later,0,0.0
PAY_000040,2116.44,Wallet,insufficient_balance,Axis,4,2,3,1309,5,3,retry_later,0,0.0
PAY_000041,3264.21,UPI,otp_failure,Kotak,3,1,1,830,18,3,retry_later,1,3264.21
PAY_000042,2073.71,UPI,blocked_card,Kotak,6,3,1,316,17,5,no_action,0,0.0
PAY_000043,1648.27,NetBanking,gateway_error,HDFC,6,0,4,878,15,6,payment_link,0,0.0
PAY_000044,1421.0,NetBanking,insufficient_balance,Kotak,4,4,1,929,16,1,no_action,0,0.0
PAY_000045,554.01,Wallet,insufficient_balance,HDFC,3,5,2,891,12,3,change_payment_method,0,0.0
PAY_000046,1016.5,Card,gateway_error,Axis,4,1,2,1151,11,4,retry_later,1,1016.5
PAY_000047,1250.74,Card,network_error,SBI,2,2,2,692,10,6,change_payment_method,1,1250.74
PAY_000048,4212.02,UPI,insufficient_balance,SBI,7,2,3,771,10,4,payment_link,0,0.0
PAY_000049,2380.09,Wallet,insufficient_balance,Kotak,5,2,4,830,1,0,retry_now,1,2380.09
PAY_000050,441.23,Card,insufficient_balance,Axis,7,1,2,1288,23,6,retry_now,0,0.0
PAY_000051,2343.19,Card,network_error,Axis,5,1,4,307,17,4,change_payment_method,1,2343.19
PAY_000052,1328.67,Wallet,blocked_card,HDFC,6,1,2,1273,21,6,retry_later,0,0.0
PAY_000053,1052.01,NetBanking,otp_failure,HDFC,5,3,4,118,10,3,retry_now,0,0.0
PAY_000054,2949.35,Wallet,gateway_error,Axis,5,0,2,260,23,0,retry_now,1,2949.35
PAY_000055,4124.91,Wallet,gateway_error,Kotak,8,1,1,194,11,5,retry_now,1,4124.91
PAY_000056,3808.63,Card,gateway_error,Kotak,7,1,2,934,10,0,payment_link,1,3808.63
PAY_000057,923.92,UPI,network_error,Axis,3,1,1,491,4,4,retry_later,1,923.92
PAY_000058,1411.81,Card,otp_failure,SBI,5,1,2,226,19,3,retry_later,1,1411.81
PAY_000059,2356.68,Card,network_error,SBI,6,1,2,751,18,5,retry_now,0,0.0
PAY_000060,3945.91,Card,gateway_error,HDFC,5,2,1,822,10,2,retry_later,0,0.0
PAY_000061,1232.33,Wallet,otp_failure,Axis,6,1,4,938,15,0,retry_later,1,1232.33
PAY_000062,1558.49,Wallet,network_error,SBI,4,1,1,1130,8,3,retry_later,1,1558.49
PAY_000063,746.15,Card,gateway_error,Kotak,4,2,3,236,22,3,retry_now,0,0.0
PAY_000064,694.39,Card,insufficient_balance,ICICI,7,3,1,377,4,2,retry_later,1,694.39
PAY_000065,3463.45,UPI,network_error,ICICI,7,0,3,806,4,1,retry_later,1,3463.45
PAY_000066,5350.75,NetBanking,network_error,Axis,5,0,3,1212,4,4,retry_later,0,0.0
PAY_000067,1706.83,Card,network_error,HDFC,8,2,4,537,23,2,retry_now,0,0.0
PAY_000068,4035.26,Wallet,network_error,ICICI,7,0,1,499,22,4,retry_now,1,4035.26
PAY_000069,2414.65,NetBanking,blocked_card,Kotak,6,3,4,481,6,0,retry_now,0,0.0
PAY_000070,1079.12,NetBanking,gateway_error,Kotak,6,2,4,406,14,6,payment_link,1,1079.12
PAY_000071,2414.18,UPI,blocked_card,Kotak,6,3,3,1024,23,3,retry_now,0,0.0
PAY_000072,6188.38,NetBanking,network_error,ICICI,6,2,4,891,14,5,change_payment_method,0,0.0
PAY_000073,1756.96,Card,insufficient_balance,SBI,5,1,4,35,13,6,retry_now,0,0.0
PAY_000074,6321.52,Card,otp_failure,Kotak,4,1,3,1270,9,1,retry_now,1,6321.52
PAY_000075,222.34,Wallet,insufficient_balance,HDFC,5,5,4,710,1,4,payment_link,0,0.0
PAY_000076,3489.53,Card,blocked_card,Axis,6,1,3,762,16,4,retry_later,0,0.0
PAY_000077,1938.44,Card,gateway_error,Axis,10,1,2,630,21,6,change_payment_method,1,1938.44
PAY_000078,1423.39,UPI,blocked_card,Axis,3,1,3,1021,10,5,retry_now,0,0.0
PAY_000079,1945.76,NetBanking,insufficient_balance,SBI,4,1,3,164,0,0,no_action,0,0.0
PAY_000080,368.69,UPI,insufficient_balance,Axis,3,2,2,1172,13,4,change_payment_method,0,0.0
PAY_000081,1516.65,NetBanking,otp_failure,Axis,7,1,4,971,11,4,change_payment_method,0,0.0
PAY_000082,2405.93,UPI,gateway_error,ICICI,3,0,3,1444,15,3,payment_link,1,2405.93
PAY_000083,5897.69,Wallet,insufficient_balance,SBI,4,0,1,694,12,2,retry_later,0,0.0
PAY_000084,1194.38,UPI,insufficient_balance,SBI,5,2,1,99,4,4,retry_later,1,1194.38
PAY_000085,946.91,UPI,otp_failure,ICICI,4,3,2,514,9,3,change_payment_method,0,0.0
PAY_000086,1210.26,Wallet,otp_failure,HDFC,3,1,2,532,11,1,change_payment_method,1,1210.26
PAY_000087,3760.55,Card,otp_failure,Axis,3,0,4,303,16,0,change_payment_method,1,3760.55
PAY_000088,2351.95,Card,insufficient_balance,HDFC,6,1,4,1430,23,1,change_payment_method,0,0.0
PAY_000089,1183.45,Wallet,network_error,ICICI,6,3,4,1392,18,3,retry_now,0,0.0
PAY_000090,2726.06,Wallet,blocked_card,ICICI,5,0,4,1307,23,2,retry_now,0,0.0
PAY_000091,1954.06,UPI,network_error,ICICI,3,3,3,1164,8,3,change_payment_method,0,0.0
PAY_000092,3924.19,Wallet,insufficient_balance,ICICI,4,2,4,161,10,2,change_payment_method,0,0.0
PAY_000093,1031.08,Wallet,insufficient_balance,Kotak,4,1,4,753,4,3,retry_now,0,0.0
PAY_000094,1391.13,NetBanking,gateway_error,ICICI,6,2,3,499,17,2,no_action,0,0.0
PAY_000095,1321.22,NetBanking,blocked_card,HDFC,4,4,2,384,5,2,retry_later,0,0.0
PAY_000096,560.7,Card,otp_failure,ICICI,4,3,3,1063,22,0,no_action,0,0.0
PAY_000097,2291.35,Wallet,blocked_card,HDFC,5,4,1,680,6,1,retry_later,0,0.0
PAY_000098,2227.97,UPI,otp_failure,ICICI,4,0,2,456,12,4,payment_link,1,2227.97
PAY_000099,1815.45,Card,gateway_error,ICICI,4,1,1,465,10,0,retry_now,0,0.0
PAY_000100,1498.67,Card,gateway_error,Kotak,6,0,1,879,3,2,retry_now,1,1498.67
PAY_000101,582.72,Card,network_error,ICICI,7,2,4,358,4,3,change_payment_method,0,0.0
PAY_000102,1291.4,Wallet,otp_failure,Axis,5,2,4,1485,9,5,retry_later,0,0.0
PAY_000103,1374.48,Wallet,otp_failure,Kotak,4,1,4,947,10,6,retry_later,0,0.0
PAY_000104,951.63,UPI,network_error,Kotak,11,1,1,462,4,3,change_payment_method,1,951.63
PAY_000105,1589.18,UPI,blocked_card,Axis,6,1,2,106,7,0,payment_link,0,0.0
PAY_000106,2497.99,Card,gateway_error,Kotak,2,2,2,1257,22,6,payment_link,1,2497.99
PAY_000107,8175.92,Wallet,gateway_error,ICICI,8,2,3,455,22,5,retry_now,1,8175.92
PAY_000108,2079.04,UPI,otp_failure,Axis,4,0,2,164,19,6,retry_now,1,2079.04
